posX,posY,posZ,vx,vy,vz,angleFromWorldX
-0.004327750904655279,2.4933815288078165,-0.001285643184237106,-0.014431984621960953,-0.17618343482886759,-0.0001307514207894872,0.10751636479939558
-0.005288276896886435,2.495759399748809,-0.0013291032823534463,-0.013365909727992007,-0.17335428182675006,-0.0018981504546357803,0.1295083262691977
-0.002156448290435032,2.494539902913965,-0.0008539747303365467,0.04676852984061942,-0.1652401808944981,0.050249440570062004,0.057980412073046064
-0.002858506279265672,2.492407669032049,-0.0009269073367975933,-0.013472899372557,-0.1772504711022804,-0.001885105887666868,0.07401747414076593
-0.0038477651768168146,2.4928627028976336,-0.000965968925956638,-0.015396856585469796,-0.1771929787955969,-0.00007828011466539818,0.09664222741465613
-0.004893260056974157,2.4938127143462383,-0.0009666115272596081,-0.01579352063741407,-0.1776614844107031,-0.00001573176085105724,0.12057216446648208
-0.0028419778955753594,2.495195721011725,-0.0012347219631169565,0.10833115477064764,-0.28867457913993244,-0.0074899717609357855,0.07374957252237271
-0.003525115079366775,2.4929904216947256,-0.0013417346765889594,-0.012790332254663602,-0.17442237006964906,-0.00016798589456018854,0.091490433687986
-0.004463844113869198,2.4936018367700323,-0.0013697453414889742,-0.014339181897003816,-0.17594252372789185,-0.00028034378531904206,0.11291959153361646
-0.005326552075825961,2.4961644129490463,-0.0015004847113762288,-0.012069619327927725,-0.17093910045536678,-0.003018419481091854,0.13266361666802232
-0.002069522844150462,2.493169756860915,-0.0010318415681969712,-0.00528281347401135,-0.1671197154505941,-0.00006758921916584538,0.0583276176224104
-0.002835974975312425,2.4925182553633998,-0.0011953082849560333,-0.012762620870227434,-0.17699363585657643,-0.0024081911687544254,0.07581821760128923
-0.003775428303922681,2.4929589310182134,-0.0012735119657030771,-0.014712469536216362,-0.1759683728395282,-0.0006268918394296397,0.09729024466967578
-0.00477325925258951,2.4949178069211833,-0.0013107006013382213,-0.015066101668000844,-0.17636303986071583,-0.0005892603051054151,0.12011878956913424
-0.004202012223742391,2.4960946925279583,-0.0012268688611028426,0.01542608111966171,-0.16604307036155566,0.019660577919801255,0.10708438438882538
-0.003723306809365403,2.49416671898809,-0.0001763323894346492,-0.010359736320838886,-0.1723507514566129,0.00023321190198304963,0.09612335399596555
-0.004808510083561116,2.4938349450883566,-0.00017179784046491816,-0.01761472576893915,-0.17949572838353742,0.0000035939691230451377,0.12098718658443372
-0.004997780752632168,2.4972145744469847,-0.00020833249356915526,0.04328425902779819,-0.23759397952337963,-0.0022455574833730573,0.1253419437049652
-0.0038293392404643092,2.493371177238372,-0.0003170666801307162,-0.015193024188832584,-0.17836447845501693,-0.0008416056929577095,0.09966355938375895
-0.004977282598719624,2.4939659191091144,-0.0003340687123392869,-0.017542416922689118,-0.17943811853872826,0.000012000683093954762,0.1259190084864935
-0.0028936347258985994,2.4939011647483933,-0.00048438368594252545,-0.008917533597751772,-0.17084619473328164,-0.002301735077114126,0.07853428423285416
-0.0038877180513556256,2.49311563153117,-0.0005577803001762099,-0.016317059484692264,-0.1778490893499255,-0.0003468724426948716,0.10197035828617834
-0.0050083523789199655,2.4940434032314758,-0.0005666106845695491,-0.01700109864252237,-0.17886118878081106,-0.0001536047806575127,0.1275964823861736
